Iterations,boostFactor,costPerPayRequest,executionTime,feePerByte,numFallbackSolns,numKnapsackSolns,numLeverageSolns,numPayRequestsPerTX,numPayRequestsProcessed,numUTXOsUsed,oneBTC,totalCost
5,0.8200000000000001,4.051055233428575,8.701973676681519,900,3,0,2,10,70,5,8582,283.5738663400002
5,0.8200000000000001,4.031500435555556,8.556295156478882,900,1,0,4,10,90,5,8582,362.83503920000004
5,0.8200000000000001,4.043342114285708,9.44892430305481,900,3,0,2,10,70,5,8582,283.03394799999955
5,0.8200000000000001,4.002813673999998,8.066626787185669,900,2,1,2,10,70,5,8582,280.19695717999986
5,0.8200000000000001,4.032619279714281,6.851846933364868,900,1,2,2,10,70,5,8582,282.28334957999965
5,0.8200000000000001,4.073018079999998,8.196282386779785,900,4,1,0,10,50,5,8582,203.6509039999999
5,0.8200000000000001,4.037324025333336,7.556976795196533,900,3,1,1,10,60,5,8582,242.23944152000016
5,0.8200000000000001,4.012236800571424,6.665373086929321,900,1,2,2,10,70,5,8582,280.85657603999965
5,0.8200000000000001,4.0841892867999965,7.626759052276611,900,4,1,0,10,50,5,8582,204.20946433999984
5,0.8200000000000001,4.0234714963333245,6.383056402206421,900,1,3,1,10,60,5,8582,241.40828977999945
